Date, Type, Sender, Receiver, Content, ChannelName, RuleName, RuleGroupName
'17.04.2022 23:46:55', 'chat', '_Joness_', '', 'Heeej xD', 'English', '', ''
'17.04.2022 23:48:50', 'chat', '_Joness_', '', 'Jaa hvad med dig? :D', 'English', '', ''
'17.04.2022 23:51:34', 'chat', '_Joness_', '', 'Hyggeligt :D lyder da mega godt! :))', 'English', '', ''
'16.05.2022 17:56:57', 'chat', 'KatieDeForest', '', './server factions', 'English', '', ''
'16.05.2022 22:58:03', 'chat', 'NovaPhantom23', '', 'sure', 'English', '', ''
'16.05.2022 22:58:28', 'chat', 'NovaPhantom23', '', 'holy shi-', 'English', '', ''
'16.05.2022 22:59:07', 'chat', 'NovaPhantom23', '', 'well i guess i ahve some competition then', 'English', '', ''
'16.05.2022 22:59:49', 'chat', 'NovaPhantom23', '', 'ill have to pull out the big ideas', 'English', '', ''
'16.05.2022 23:00:25', 'chat', 'NovaPhantom23', '', 'fair enough lol', 'English', '', ''
'16.05.2022 23:00:50', 'chat', 'NovaPhantom23', '', 'im wondering what im going to go for. im thinking a castle', 'English', '', ''
'16.05.2022 23:01:08', 'chat', 'NovaPhantom23', '', 'yiss', 'English', '', ''
'16.05.2022 23:01:26', 'chat', 'NovaPhantom23', '', 'not anymore', 'English', '', ''
'16.05.2022 23:01:42', 'chat', 'NovaPhantom23', '', 'are you trying to suggest somthing lmaooo', 'English', '', ''
'16.05.2022 23:01:59', 'chat', 'NovaPhantom23', '', 'XD', 'English', '', ''
'16.05.2022 23:02:24', 'chat', 'NovaPhantom23', '', 'now we are both completely lost lmaooooo', 'English', '', ''
'16.05.2022 23:02:34', 'chat', 'NovaPhantom23', '', 'well i had better go choose a plot', 'English', '', ''
'16.05.2022 23:03:13', 'chat', 'NovaPhantom23', '', 'problem is that i need a big plot', 'English', '', ''
'16.05.2022 23:03:56', 'chat', 'NovaPhantom23', '', 'apparently ita already claimed', 'English', '', ''
'16.05.2022 23:06:09', 'chat', 'NovaPhantom23', '', 'ok. so how do i merge them. im guessing there is a command', 'English', '', ''
'16.05.2022 23:07:19', 'chat', 'NovaPhantom23', '', 'welp. guess i had better start planning my builkd', 'English', '', ''
